"sample","Stage","ID","observed","chao1","simpson","shannon","evenness"
"RSZYD17042795_A","Before","P05",281,281,0.692255772391607,1.72075549888284,0.305187523630217
"RSZYD17050397_A","After","P05",283,283,0.649616445612231,1.6349391829972,0.289603146153005
"RSZYD17042799_A","Before","P14",251,251,0.539214504405722,1.4575186622147,0.263782657869079
"RSZYD17050383_A","After","P14",266,266,0.513307541004289,1.33375321833809,0.238874200783544
"RSZYD17042803_A","Before","P15",280,280,0.83942882037576,2.37693471419927,0.421832025966396
"RSZYD17050391_A","After","P15",272,272,0.82361622547409,2.2246120806298,0.396840996938677
"RSZYD17042790_A","Before","P16",293,293,0.623527714742872,1.69458534739576,0.298333424710663
"RSZYD17050411_A","After","P16",249,249,0.593230503576024,1.65433850579396,0.299837359165127
"RSZYD17042782_A","Before","P19",242,242,0.605393870430252,1.32705164142271,0.241768390830679
"RSZYD17050408_A","After","P19",259,259,0.750385034441259,2.02195329759686,0.363868249142561
"RSZYD17042798_A","Before","P20",255,255,0.778405214876548,2.16692940760497,0.391053302183811
"RSZYD17050399_A","After","P20",293,293,0.701228933222756,2.13441584726709,0.375766018778863
"RSZYD17042786_A","Before","P25",253,253,0.814355713841303,2.24600037305605,0.405899562579418
"RSZYD17050390_A","After","P25",273,273,0.697059322351286,1.75393263561207,0.312673403067576
"RSZYD17042793_A","Before","P26",254,254,0.832505631857608,2.25219683888196,0.40672943518987
"RSZYD17050382_A","After","P26",271,271,0.852724983242875,2.34422334668353,0.418452985671484
"RSZYD17042789_A","Before","P33",277,277,0.612995853253852,1.84025780371665,0.327214095918455
"RSZYD17050381_A","After","P33",277,277,0.709673075783068,1.78272432050055,0.316984134302437
"RSZYD17042809_A","Before","P37",289,289,0.577533079664098,1.83671062729687,0.324139131835959
"RSZYD17050402_A","After","P37",298,298,0.498309579465134,1.6462856917031,0.288969400906379
"RSZYD17042817_A","Before","P41",273,273,0.848076391238499,2.3510342202026,0.419118645399139
"RSZYD17050380_A","After","P41",253,253,0.854814389250688,2.35175204953766,0.425011117386295
"RSZYD17042797_A","Before","P42",269,269,0.704140016851638,2.03942307000335,0.364526949046743
"RSZYD17050389_A","After","P42",284,284,0.290520045445689,1.00359944782449,0.177660475249604
"RSZYD17042784_A","Before","P43",281,281,0.537486277198141,1.32071321662063,0.234237342997206
"RSZYD17050387_A","After","P43",287,287,0.531745057296231,1.3204571558706,0.233317661498008
"RSZYD17042821_A","Before","P46",290,290,0.819630532715901,2.17156160423797,0.382999508056059
"RSZYD17050384_A","After","P46",265,265,0.797007882376653,2.11023887289664,0.378197321144245
"RSZYD17042765_A","Before","P50",269,269,0.723684557239922,2.2467839737496,0.401590684720809
"RSZYD17050368_A","After","P50",263,263,0.808692994482267,2.21175890477531,0.396930682820856
"RSZYD17042770_A","Before","P52",258,258,0.646244384091729,1.81734585470733,0.327275181264079
"RSZYD17050406_A","After","P52",280,280,0.581584582629721,1.71013284120298,0.303495420705882
"RSZYD17042762_A","Before","P54",234,234,0.749063485407414,1.95510352868028,0.358384683016426
"RSZYD17050362_A","After","P54",281,281,0.729663151682882,1.90994499991208,0.338741549959603
"RSZYD17042805_A","Before","P56",242,242,0.849449878517939,2.2606579668143,0.411857098695341
"RSZYD17050356_A","After","P56",257,257,0.751973769714356,2.14253472533392,0.386106568472898
"RSZYD17042768_A","Before","P57",266,266,0.657888130605513,1.66995727416865,0.299088094952646
"RSZYD17050363_A","After","P57",284,284,0.512604330258481,1.52846713547286,0.27057427968912
"RSZYD17042761_A","Before","P58",297,297,0.650534529618196,1.9432963195695,0.341304485738969
