# Pathway	E0000355_Abundance	E0000361_Abundance	E0000362_Abundance	E0000369_Abundance	E0000376_Abundance	E0000378_Abundance	E0000382_Abundance	E0000393_Abundance	E0000404_Abundance	E0000410_Abundance	E0000416_Abundance	E0000418_Abundance	E0000419_Abundance	E0000420_Abundance	E0000426_Abundance	E0000428_Abundance	E0000432_Abundance	E0000433_Abundance	E0000435_Abundance	E0000442_Abundance	E0000466_Abundance	E0000467_Abundance	E0000471_Abundance	E0000478_Abundance	E0000480_Abundance	E0000482_Abundance	E0000488_Abundance	E0000490_Abundance	E0000495_Abundance	E0000498_Abundance	E0000501_Abundance	E0000502_Abundance	E0000516_Abundance	E0000520_Abundance	E0000521_Abundance	E0000522_Abundance	E0000527_Abundance	E0000531_Abundance	E0000537_Abundance	E0000539_Abundance	E0000540_Abundance	E0001336_Abundance	E0001340_Abundance	E0001346_Abundance	PV101516_Abundance	PV101570_Abundance	PV101581_Abundance	PV101643_Abundance	PV101656_Abundance	PV101894_Abundance	PV101895_Abundance	PV101929_Abundance	PV101945_Abundance	PV101948_Abundance	PV101962_Abundance	PV102349_Abundance	PV102418_Abundance	PV102462_Abundance	PV102474_Abundance	PV102574_Abundance	PV102580_Abundance	PV19497_Abundance	PV19551_Abundance	PV19565_Abundance	PV19588_Abundance	PV19658_Abundance	PV19708_Abundance	PV19755_Abundance	PV19834_Abundance	PV19855_Abundance	PV19856_Abundance	PV19882_Abundance	PV19936_Abundance	PV19942_Abundance	PV19991_Abundance	PV20005_Abundance	PV20541_Abundance	PV20544_Abundance	PV20615_Abundance	PV21638_Abundance	PV21671_Abundance	PV21690_Abundance	PV21772_Abundance	PV21813_Abundance	PV21876_Abundance	PV23791_Abundance	PV23961_Abundance	PV24015_Abundance	PV49580_Abundance
UNMAPPED	10259781.0745790489	10298643.1056374758	7003625.2255639210	8983774.9472539350	8072419.3897321047	11797214.7979008630	13088963.7823425625	4662863.4200926507	4536773.6577397017	5793414.2699312903	12239366.4704874605	10029945.0143618956	8546631.3799250927	9010562.1203268357	7110130.2399554206	7563465.5571215013	5345446.4448082196	10044807.3296862338	11617970.6129296403	8183173.9903214658	9590046.2655951176	10264822.9006476700	6291592.5685176216	10363532.9114898778	7780157.8844344113	6972720.5337822214	6287631.4194253339	4873620.1848070035	8159416.6016040938	8511470.1816475261	6616798.7763530202	9054397.1333036330	5238760.2107686838	9521708.0673374664	6325981.3545480957	6355967.5440445933	11675401.5010024775	11166175.4877070859	4801154.2656660732	4503564.5348487180	4449721.5120275142	8347371.8915134445	9393332.5245194137	8408930.1948032919	6988738.3960311208	9430531.5822214708	5128733.5429133931	6213321.6721383082	7306587.3482621983	5154744.1767118387	10859860.8264128678	6648817.0835527396	6095805.3948954158	6346572.6795964604	6282383.4586294834	18049458.7540216893	6256878.0068581952	11249078.7123201583	7139841.1722025899	9077077.3364879023	6051423.7947933469	5055339.2688876782	7228077.0757320384	9894891.8288230672	6922295.1919867992	4889709.0541961081	7363634.0424591210	8492753.6087946128	12611835.5944328345	3986656.5209493409	6481787.5145609677	14572645.2109668572	8262143.2334862528	8122662.6293570306	11533237.2222194560	7111258.0418797545	5656683.7413038798	5904314.4542107722	4653210.9968999317	10674425.7973425426	9243341.3620340414	4176482.9014219046	9138245.1805584244	5219559.1771384403	10603740.3703523111	7296918.3729630662	11354331.7798980940	5911603.3693608316	11438242.2650793996
UNINTEGRATED	9224030.6124058720	11169899.5332993101	11367184.7548150960	8673854.2678826172	9745996.6349962037	14178784.7278805282	8411961.2897204049	9529755.6831450108	11231268.5765344407	10655663.9803732075	8625489.3453396950	10147482.0673831552	12279031.9890616778	10242377.3020508531	10156051.4539810661	6836728.2125927340	9203438.2073807903	12965083.5764577389	8723602.3317899853	10960594.4912028927	9413330.1898689978	8045141.0123741860	8443580.4496645145	10320131.0015157647	10671760.7919219136	7590335.5949631007	12000565.0236786902	9661411.0385165289	9968053.1813955661	4595180.8384399451	13022706.3089888338	9321863.8359523043	12871845.6801957153	14998963.1942867264	9167341.4689262472	13486330.0902083758	6416679.4179027220	10467323.8118086047	4865174.7962811021	13092946.3254671376	15299526.4519558866	8367471.8490628013	9392609.7731612492	5419398.4537857026	7769522.6887526922	7211976.3834665446	10661975.2459017262	3332328.0137853087	10896430.8859499339	4543212.4966353215	7841045.4219581047	10388909.2829875834	10017103.3607057184	5724960.3855417669	3943428.2893807953	9675921.6464388054	10391391.0109954160	9510894.6993986871	9606160.8374227714	5582946.9053524593	11034229.8371218815	6035528.0393391382	8034675.6011319673	4608638.3834205195	7495477.4658134338	10595141.7722401544	5498874.3530794736	8622843.3809675351	8043240.1754241697	10594745.2104191985	15641029.8696014620	12009074.1270391569	8980633.4628713056	11744519.8698011953	7152152.9079694524	11958080.7214072719	3441399.3456994952	11744295.6707918253	8954285.4133203886	15265033.5974240135	5108267.4057805259	8485500.6649486385	10221645.8031501528	9304345.2213281915	12900400.0180703551	8826832.4091991764	6925530.1340222824	10638212.2746384926	18442367.3783682473
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	5121.3248863382	6912.2632288755	6538.8994172457	4526.1545797408	6838.1705633783	8924.5215559497	4509.9613578610	8766.2112163815	10369.7567977336	7515.8668757431	4021.3277545534	5475.3960089457	5620.0794569377	5995.4317404686	6264.1072187380	4179.7181359134	7590.2491421517	4783.1140575473	4861.9383078082	6862.8167828299	5164.6895334652	4281.8005008776	7773.6108060070	5574.7639659759	6857.3056094789	3059.0076852087	7814.6856539462	8300.9934300981	7112.1023235254	2481.5921900242	7115.7820273174	6143.0196253749	9713.3976934879	4612.5867176294	7110.7948030780	8927.7786149272	3729.0130960108	5186.4329389640	2902.2179666778	9078.6684766705	8099.5048866580	5008.0778219241	5109.7361941679	2484.0041862083	5360.1036560714	6014.3269710488	9721.9386941876	1469.6524369205	8709.6717281144	3838.7346340720	4409.2813683531	7054.3184350742	7386.6760680613	3011.2079538524	1758.9326274542	4462.6207053955	5843.6342009076	4505.7700555004	5534.8244861429	1745.9369373223	6909.9570726323	3873.6233061642	4957.6473662768	2075.1124753146	4378.0458560493	8433.6117272280	3091.1771579136	5709.4761920236	2599.1659414465	9228.8994915997	7832.9648370539	4722.1359284756	6519.7116355706	6229.1982651934	3994.2195655526	7398.9242201507	925.9352794913	8056.1863113390	9302.0391916801	4438.8274308216	2060.1970316852	7810.3515419110	7463.9404636734	7899.3804211988	4373.0390805180	5905.8047222349	3383.2872157575	8545.1065077632	5855.4624924636
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	1.9165392776	0	277.5692591466	0	0	220.8409238932	0	0	18.9897020324	0	79.5200054807	33.0918702687	0	0	0	37.8982827673	0	320.5142020329	29.5560816286	8.8388121205	0	0	18.3970388810	128.3555960361	47.2754573405	61.7397735647	0	0	3.6836890098	0	69.8218717656	0	213.5157292317	1630.3018162678	0	19.0946995120	8.1949022320	37.7292848772	0	29.9505075272	241.1247786838	8.3685578123	4.0977397008	23.4952728547	9.8843480661	0	0	18.3785117472	19.7205207712	0	27.1884524184	11.4477584487	0	6.1092380156	0	123.5924902022	0	362.9758310900	2.2116982401	12.4007948631	71.0269892968	0	0	0	0	0	0	31.7438240071	4.5295521311	0	8.1218756303	0	0	172.1744452479	0	26.4933666878	16.1107541651	2.3054420250	0	8.1846074121	30.0671455580	0	0	0	638.6094388743	0	0	0	1712.8248081627
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2839741150	0	0	11.7318579239	0	0	12.2307974218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0182195987	0	0	0	0	0	3.0001817337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6490801277	0	0	8.6670858407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	6.5604021789	0	0	0	0	10.4915653724	3.3205124658	0	0	0	50.4823791621	5.4201416335	0	36.1411168709	2.6842026533	246.4147827924	0	51.2352940160	0	7.1195619478	11.8503889327	121.2734049801	10.6782993050	4.7394300835	0	0	1.1594202899	0	38.7462470203	8.2523234999	16.7782378109	55.8196553624	18.2279504165	2.7514224828	7.3740862905	34.7887638854	0	0	0	2.1712122972	2.1657889584	2.1549788992	0	2.3697150418	7.2124530547	0	5.9687087962	0	14.1792024250	14.5679688429	0	2.3831091197	0	17.7682090373	0	5.1092015253	0	4.9518138404	4.8831839350	0	2.5127062989	0	0	0	3.6246381246	0	334.2812939224	9.5575875090	0	0	0	0	0	29.3253191872	2.9546461811	0	0	0	7.3095164881	0	0	0	493.4757332654	11.8060380135	3.8099650382	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	67.2529213101	0	0	522.3444843842	0	0	0	0	0	0	0	0	0	0	0	0	195.6910275644	0	0	131.9721089194	44.5143658513	290.1070360364	199.1772059398	0	0	0	0	0	0	58.9059391763	0	0	0	114.6477180190	59.5516643887	145.1499021543	0	0	0	84.7634887437	0	0	0	0	0	0	0	0	0	0	0	94.9286845600	13.0190013011	400.9640615399	0	0	0	0	94.4291456962	0	0	0	0	0	0	83.1687493785	0	125.4034390955	0	439.2228022028	0	383.2108616814	0	0	0	0	0	671.6868616329	0	0	0	0	0	105.2781341625	25.3065953885	0	69.7789524246
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	41.0764643746	0	0	1.3313717423	0	0	18.6489728323	0	0	0	0	0	0	0	0	8.8367535159	0	2.7415087490	8.7643208967	0	0	0	0	7.4212907115	0	0	0	0	25.5939627121	0	0	0	0	0	0	0	0	0	42.6908115331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.4328108213	0	0	0	0	26.3531443421	0	0	0	0	0	0	8.4439717279	0	0	65.4411178102	0	0	0	0	0	0	5.5513104135	0	8.7732722540	8.0423560580	0	0	0	15.4468227267	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	1388.8856322405	3759.5874608920	3504.1892063853	1444.3555467204	1421.9350389541	3390.1606686704	2832.2598569298	2109.5978102059	2296.9826288648	4063.1945766607	1515.5287830236	2215.7075951037	5129.2408512362	4750.5976156308	2823.2168558051	1011.5913591519	3985.8731756209	3819.5656970000	1960.6526121997	4485.1906307420	2168.9870819428	2961.4842319209	2007.8939296841	3256.0526567465	2453.8702210149	1935.5836176652	3186.4757632426	2723.0381073974	2756.2435519195	1091.2074272784	3528.6963407678	1886.0259186638	3575.1610272790	4538.9174847889	2872.1877443563	4545.9770348013	1643.1633350388	2362.5767196172	269.7674462138	2696.4796358288	4359.9913802712	1900.1005865932	2559.4612515433	703.9508556472	2373.8761515981	1544.6874414004	4265.0585447543	538.5137563970	3416.9302439202	1036.0034726793	2735.4592521704	2968.1189987775	2526.4538433576	982.0701508524	686.2255581910	3203.3745769333	2397.1269940529	3082.0477214570	3350.9128958278	815.4955042536	3484.0492548748	790.4159348609	2070.2953216452	1300.7772893995	941.2394046605	3538.4225335373	1294.6978090311	1943.2307974438	2327.5192299983	3574.2306712240	4351.2140149357	3494.1614090227	3745.9622455642	2149.2585239479	1911.7173472270	4297.9559520722	418.8844550976	5140.9902921987	1391.0324354737	2735.0921767285	1018.1188023674	2506.3009867546	2521.4260381980	3039.6003874929	3287.9903149940	647.9601050533	1477.5333276669	3460.8853332647	4029.2031482557
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	7457.4549758602	6146.2994268476	6724.5962616801	5467.3885526629	6041.4476502233	8483.9175329572	5201.7611531822	8189.3336826896	3634.9973351985	6370.3359943483	4486.0176866263	6031.5075150581	8457.4930951004	7726.0222063760	6776.4086996256	3310.7220009238	5963.3216315735	4657.6464519494	5537.7099624980	7922.4504346437	6680.6568267154	5401.6051984418	6239.2768357342	4782.4880004550	6284.1627735198	3232.0441475880	9716.5237997792	5056.2540948746	6973.5977954017	2095.2811387585	5112.8116008410	5730.9551743979	7550.5972306825	5329.1465298249	6809.2746287343	7998.1201094053	3793.0392919426	6120.5150748649	2907.0543538914	6617.9472420946	5884.3403482831	4273.0207842250	5827.0970858908	1530.7053523337	5168.2764919904	4231.5540515321	7166.6245478753	1360.2979122313	6032.7839934384	2024.4926658712	5920.8976449330	5106.8215428516	5383.4142185543	2987.0456374911	921.2528598684	4931.5298170565	4842.0864426674	4110.3156196809	6395.3068838319	1883.4962835079	5755.6485915337	1661.7079658940	5657.3029830421	2688.9975986561	4886.1577253761	6755.2062525260	3409.7900384523	5334.4666614651	3030.2068932329	7442.6818856261	7331.4782222859	4946.6328693749	6666.9541131946	6235.5793500193	4450.1604333793	9100.3771219253	803.0389387728	8367.4706401609	4167.7163988504	4610.0706024478	1715.1282537794	5314.9127056146	6563.7727433944	5710.6613435965	4584.7336360283	4785.4551029964	4282.6058553824	6750.0900360897	6528.4493273996
