"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"1"	"k__Archaea"	"p__Euryarchaeota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter"	"s__Methanobrevibacter_smithii"
"2"	"k__Archaea"	"p__Euryarchaeota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter"	"s__Methanobrevibacter_unclassified"
"3"	"k__Archaea"	"p__Euryarchaeota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanosphaera"	"s__Methanosphaera_stadtmanae"
"4"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_graevenitzii"
"5"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_johnsonii"
"6"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_massiliensis"
"7"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_naeslundii"
"8"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_odontolyticus"
"9"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_oris"
"10"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_sp_ICM47"
"11"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_timonensis"
"12"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_urogenitalis"
"13"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces_viscosus"
"14"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Mobiluncus"	"s__Mobiluncus_unclassified"
"15"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetales_noname"	"g__Tropheryma"	"s__Tropheryma_whipplei"
"16"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_crenatum"
"17"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_durum"
"18"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_glutamicum"
"19"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_nuruki"
"20"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_variabile"
"21"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Dermabacteraceae"	"g__Brachybacterium"	"s__Brachybacterium_unclassified"
"22"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Agromyces"	"s__Agromyces_unclassified"
"23"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Curtobacterium"	"s__Curtobacterium_flaccumfaciens"
"24"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Curtobacterium"	"s__Curtobacterium_unclassified"
"25"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Leifsonia"	"s__Leifsonia_unclassified"
"26"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Kocuria"	"s__Kocuria_unclassified"
"27"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia_aeria"
"28"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia_dentocariosa"
"29"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia_mucilaginosa"
"30"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia_unclassified"
