clade_name	clade_taxid	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Archaea	2157	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.54924	0	0	5.19855	0	0	0.20381	0	1.85297	0	0	0	0.42895	0	0	0	0	0	0	0	0.01145	0.1811	0	0	0	0	0.06248	0	0	0	0	0	0	0.0083	0	0	0	0.62537	0	0.72508	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.54924	0	0	5.19855	0	0	0.20381	0	1.85297	0	0	0	0.42895	0	0	0	0	0	0	0	0.01145	0.1811	0	0	0	0	0.06248	0	0	0	0	0	0	0.0083	0	0	0	0.62537	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.54924	0	0	5.19855	0	0	0.20381	0	1.85297	0	0	0	0.42895	0	0	0	0	0	0	0	0.01145	0.1811	0	0	0	0	0.06248	0	0	0	0	0	0	0.0083	0	0	0	0.62537	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.54924	0	0	5.19855	0	0	0.20381	0	1.85297	0	0	0	0.42895	0	0	0	0	0	0	0	0.01145	0.1811	0	0	0	0	0.06248	0	0	0	0	0	0	0.0083	0	0	0	0.62537	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.54924	0	0	5.19855	0	0	0.20381	0	1.85297	0	0	0	0.42895	0	0	0	0	0	0	0	0.01145	0.1811	0	0	0	0	0.06248	0	0	0	0	0	0	0.0083	0	0	0	0.62537	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25987	0	0	3.50371	0	0	0.09281	0	0.60374	0	0	0	0.02882	0	0	0	0	0	0	0	0.00169	0.1811	0	0	0	0	0.05576	0	0	0	0	0	0	0.0083	0	0	0	0.58676	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0.08734	0	0	0.71333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25987	0	0	3.50371	0	0	0.09281	0	0.60374	0	0	0	0.02882	0	0	0	0	0	0	0	0.00169	0.1811	0	0	0	0	0.05576	0	0	0	0	0	0	0	0	0	0	0.58676	0	0.72508	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_sp_87_7	2157|28890|183925|2158|2159|2172|387957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.28937	0	0	1.69484	0	0	0.111	0	1.24923	0	0	0	0.40013	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0.00672	0	0	0	0	0	0	0	0	0	0	0.03861	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06264	0	0	0	0	0	0	0	0	0	0.28937	0	0	1.69484	0	0	0.111	0	1.24923	0	0	0	0.40013	0	0	0	0	0	0	0	0.00976	0	0	0	0	0	0.00672	0	0	0	0	0	0	0	0	0	0	0.03861	0	0	0	0
