,all.wasit_estimate,all.wasit_p.value,all.SBP_estimate,all.SBP_p.value,all.DBP_estimate,all.DBP_p.value,all.HR_estimate,all.HR_p.value,all.RASBP_estimate,all.RASBP_p.value,all.RAMSBP_estimate,all.RAMSBP_p.value,all.RADBP_estimate,all.RADBP_p.value,all.LASBP_estimate,all.LASBP_p.value,all.LAMSBP_estimate,all.LAMSBP_p.value,all.LADBP_estimate,all.LADBP_p.value,all.RLSBP_estimate,all.RLSBP_p.value,all.RLMSBP_estimate,all.RLMSBP_p.value,all.RLDBP_estimate,all.RLDBP_p.value,all.LLSBP_estimate,all.LLSBP_p.value,all.LLMSBP_estimate,all.LLMSBP_p.value,all.LLDBP_estimate,all.LLDBP_p.value,all.hrbpm_estimate,all.hrbpm_p.value,all.RbaPWV_estimate,all.RbaPWV_p.value,all.LbaPWV_estimate,all.LbaPWV_p.value,all.RABI_estimate,all.RABI_p.value,all.LABI_estimate,all.LABI_p.value,all.Cardiovascular_incidence_estimate,all.Cardiovascular_incidence_p.value,all.TG_estimate,all.TG_p.value,all.TC_estimate,all.TC_p.value,all.HDLC_estimate,all.HDLC_p.value,all.LDLC_estimate,all.LDLC_p.value,all.Glum_estimate,all.Glum_p.value
s__Methanobrevibacter_smithii,-0.0033340947773575,0.975405545806898,0.101603617752049,0.346223926960602,-0.0295617800550261,0.784539050807883,0.0833613660135968,0.440017863533843,0.019245280696839,0.858745094833176,-0.00295289343393558,0.978216804356949,-0.0430649554809563,0.690339985942249,0.0705064024714528,0.513907935926541,0.0827123670255751,0.443598542805265,0.0473996880342505,0.660996751416343,0.152278068649212,0.156674614204386,0.0683067108958548,0.527157544839147,0.0388877149169063,0.719057113702794,0.149003675616594,0.165887193184729,0.0730978545076235,0.498519949051336,0.0447681037320804,0.678753223546389,0.187115755168749,0.0808705381113645,0.162031219669512,0.13149309643667,0.138817432075107,0.197099786349442,0.128722983825881,0.231992108139638,0.104127220561254,0.334313933280354,0.246198799227992,0.020764462888401,0.139238249521441,0.195732040084207,0.0452195246718866,0.67569447163724,0.0258238523110748,0.811241067124454,0.050063525456841,0.643211596159183,0.0573386018519099,0.595675315299885
s__Methanosphaera_stadtmanae,-0.0249299120385005,0.817660310696259,0.0750254872512076,0.487231824278752,0.0222208296996559,0.837185605652192,0.107872802975043,0.317121561503171,0.0793535472188684,0.462389037146674,0.0729599234080783,0.499332870923325,0.0188842329026506,0.861368469954551,0.0508748513285936,0.637833837118487,0.101613705711459,0.346175795185548,0.0652462920777144,0.54587216932442,0.0102051945502135,0.924817762077442,0.036048917648424,0.738800660535635,0.0643622431573088,0.551337782908235,0.0419072206803535,0.698257326574125,0.0850852704711484,0.430586211669765,0.0457453799134433,0.672137989710688,0.098761406362946,0.359951258378494,0.127104262908306,0.237965001358336,0.125181945660382,0.245195654587478,-0.119695930399603,0.266658053565366,-0.0732902566782216,0.497387147933372,0.0296354944308573,0.784014856859387,0.0713431663768232,0.508912854101599,0.132545322418857,0.218305308615855,0.111324745114091,0.301790846206709,0.12455788208717,0.247575245554074,-0.00272775405776756,0.979877274455571
s__Actinomyces_odontolyticus,-0.0688201995601408,0.524049349864153,-0.0834599103620783,0.439475599641487,-0.0630122240458203,0.559734902733436,-0.0748033736177708,0.488525560069342,-0.108114416085333,0.316032464358771,-0.0695107712997369,0.519883857358581,-0.109531147189669,0.309695003565992,-0.124431229015858,0.248060113315698,-0.10713125715798,0.320479239450062,-0.0781933995396888,0.468979262090885,-0.086159398615809,0.424768313073953,-0.0488775060041263,0.651106048042903,0.0161110093495612,0.881566772000173,-0.00984900126160944,0.927434609157281,0.0068462796638084,0.949522649255738,0.0642264032287592,0.552179946915996,0.00399935419882459,0.97050017375487,-0.0157025076972277,0.884548750776513,0.0100029573105632,0.926303443188371,0.031951864919568,0.767592984253761,0.293659402003497,0.0054882359060269,-0.00866374155106414,0.936147761830538,-0.109449939287235,0.310056026700927,-0.101663458237927,0.345938476677099,0.0148149989472074,0.891032868768387,-0.0712754141937169,0.509316370278888,-0.0241699396460124,0.823127033451694
s__Actinomyces_sp_HMSC035G02,-0.0848252923241346,0.432001152328905,-0.195699722830543,0.0676563355492463,-0.186912633370742,0.0812065203026325,-0.199123095839693,0.0628991308170238,-0.0839410740454021,0.436833300846891,-0.0407109542404631,0.706472186881083,-0.0896043822782696,0.406416198892199,-0.103802484363409,0.335831786544677,-0.0850568398630209,0.430740817513439,-0.0406022850475472,0.707220111276433,-0.0549150791487663,0.611336167002968,-0.0429248840722762,0.691296137257123,0.038447134907495,0.722109633608027,0.00271408150549286,0.979978116439835,-0.037951594920329,0.725548137972575,-0.00206761217127173,0.984746485488093,-0.130567371881576,0.225314918116893,0.050460834498618,0.640575772299545,0.0228244023231638,0.83282646656044,0.0469389741758019,0.66409223708313,0.257931898440268,0.015256824548946,0.0290584296887314,0.788121006018123,-0.0968396108071367,0.369420715271785,0.00157016803308809,0.988416015358828,-0.00107900338320422,0.992039459443726,0.0438809534647318,0.684779534998326,-0.102417214109956,0.342355542505172
s__Actinomyces_sp_ICM47,-0.0316773056188219,0.769534277853358,-0.177820575412596,0.0974200725885737,-0.129695069137046,0.228455892909563,-0.101292273937879,0.347711472382053,-0.0710356779191156,0.510745504179352,-0.0159944220372779,0.882417669292126,-0.0300067272874361,0.781376432229263,-0.0673577392253064,0.532925976711553,-0.0140756072913452,0.896440337336749,0.0433827341542776,0.688172575901254,-0.08374678097321,0.437899172911321,-0.0659343762644597,0.541636452490612,0.00995424615853691,0.92666132440039,-0.0416823561205435,0.69979887638834,-0.0802952472054536,0.457077252628876,0.0495839432471646,0.646399119326299,0.00694961207655732,0.948761805540043,0.0828100810249857,0.443058388509297,0.062564843012445,0.562530993353708,0.0197099543074186,0.855371031558964,0.180815182264569,0.0918207326406367,0.0197930653879092,0.854767821757201,-0.106368147127318,0.323958303706985,-0.0733578044944615,0.496989768117272,-0.0805980476700986,0.455376449076549,-0.0250084592739119,0.817095787182626,-0.0270085718455191,0.802753025518665
s__Actinomyces_sp_S6_Spd3,0.0443098454715718,0.681863629978472,-0.231685932578514,0.029857466345252,-0.189250778665285,0.0774056914513333,-0.0947782083768339,0.379745480151135,-0.0811109905772928,0.452503296880113,-0.0509363136039743,0.637427200564768,-0.0586492308376652,0.587281612632675,-0.0469943116194177,0.66372013193579,-0.0491871063628092,0.649041511959382,-0.013584951162372,0.900031329106091,0.0233329943207981,0.82915720991407,0.016648369955054,0.877646666233816,0.109376477659842,0.310382847598197,0.0262051165473679,0.80850703079103,0.0274091361170571,0.799888253474904,0.0130096986166538,0.904244017720682,-0.107923471424504,0.316892967866048,0.0808175752174561,0.454145574049017,0.0530329521446171,0.623620635249591,0.214221400590057,0.045051580546448,0.213747225199151,0.045540150787249,0.0426884858084557,0.692910928950289,-0.0954650303783183,0.376286257053476,-0.103319557855024,0.338097084795248,-0.0738642599518297,0.494015623023095,0.0116984345271485,0.913856383897148,0.0105588757211216,0.922220161282149
s__Aeriscardovia_aeriphila,-0.0749782684615135,0.487506705320108,0.0798883960622651,0.459368008833125,0.0089037752208524,0.93438257153834,0.035608833827676,0.74187698129012,0.0559989850184553,0.604309769934541,0.0373353996999273,0.729831444095276,0.0870798503289004,0.419818889648449,0.0679511922763549,0.529314933107191,0.123351974159219,0.252218325624341,0.1438081590803,0.181317023926318,0.0888353480377919,0.410472166924563,0.114343142834603,0.288789572412956,0.121641910989294,0.258904226340166,0.134021689827302,0.213174576409268,0.0941962876775087,0.382691340259161,0.0490494077177195,0.64995941442005,-0.0953209579015892,0.377010299273344,0.145525867609209,0.176104067591366,0.147329171484935,0.17075036696727,0.0992813620591286,0.357415199146325,0.112858745953578,0.295136300169463,0.117020476399578,0.277572363529985,-0.0700540233283474,0.516618821452193,0.00643641204838404,0.952540971663537,0.0418546549314213,0.698617579694021,0.0323255425178159,0.764953168873613,0.102731387344094,0.340869047560664
s__Bifidobacterium_adolescentis,0.0448781751160686,0.678006916737487,0.314406016387586,0.00285193184882779,0.190934317275399,0.0747581871506281,0.0234740178522098,0.828140434673533,0.237833834951188,0.0256612891628589,0.241923476313252,0.0231567443863277,0.228573361291106,0.0321940325726128,0.17977802120406,0.0937305308270474,0.231793216409571,0.0297795532981959,0.188099786873963,0.0792585264088602,0.277806821991963,0.00877760713544375,0.180708834297407,0.0920151339465745,0.081237525972077,0.451796083317562,0.25392221442333,0.0169767837379817,0.159697612944824,0.137217592500786,0.035165462364006,0.744980386475522,-0.0457148484932501,0.672344284779572,0.0972842068729603,0.367216596333303,0.0886804251753017,0.411292096186287,0.087850475227652,0.415700841694983,0.00782324740942475,0.94233106989435,0.0447368273308698,0.678965340544397,-0.0950902817548708,0.378171327928601,0.0505146298781951,0.640219224677525,0.177270339203696,0.0984774727308297,0.0241220758110006,0.823471618590604,-0.114251009143499,0.289180851120253
s__Bifidobacterium_bifidum,-0.0528073982006981,0.625099820482027,0.187732461849432,0.079857238037374,0.0790486954051736,0.464115815802877,0.1068750790252,0.321644485723629,0.153752583882875,0.152652763871551,0.144326112776865,0.179733411198091,0.066673232760043,0.537106210413906,0.124643141889408,0.247249211553633,0.163133519774318,0.128853156921018,0.0626521588675333,0.561984757257439,0.186055898350514,0.0826359049241641,0.088133854292277,0.414192441036189,0.0623761303319045,0.563712413718993,0.131688016262472,0.221324353974564,0.131149574586997,0.223235465297347,0.10707213913769,0.320747901484092,0.078753722626691,0.465789988175902,0.0890213698885525,0.409488907945313,0.118322797007631,0.272222867270087,0.132196830258186,0.219529014590177,-0.0854842340815484,0.428419984198702,0.103508772348116,0.337208376559602,0.0389749006180326,0.718453574952133,-0.0104431055801791,0.923070343236255,-0.011799873375734,0.913112315249914,0.0408743311840966,0.705348256049833,0.0767232470117016,0.477403284661863
s__Bifidobacterium_catenulatum,-0.082835122099707,0.442920023155886,-0.126433570193022,0.24047076738628,-0.104308048554381,0.333470609490972,0.0035736860923,0.973638774985091,-0.0388599722367567,0.719249197174075,-0.0351918769310636,0.744795381595196,0.000253080684527724,0.998132823199688,-0.0554776000407647,0.607685194684081,0.00612642306606523,0.954824220444248,0.00649848312584598,0.952083827543523,-0.0873536881520476,0.418352870579362,-0.135764822539513,0.207227580097784,-0.077343876195514,0.473837173738237,-0.0802943542775263,0.457082273304866,-0.0956827800175707,0.375193548515372,-0.0284633584571061,0.792361347262932,-0.129241421468316,0.230101433684226,-0.0900279706627042,0.404192223323016,-0.0638591890217075,0.554459658090163,-0.0395700296939564,0.714338448275021,-0.0244597990724006,0.821040972427225,-0.291316955710245,0.00589224308803433,-0.185051265219601,0.0843374873041458,-0.256779956729517,0.0157347979672829,-0.0310090667319405,0.774265026696893,-0.174905814681386,0.103124246832917,-0.0804981662051745,0.455937087280761
