,BMI_estimate,BMI_p.value,wasit_estimate,wasit_p.value,SBP_estimate,SBP_p.value,DBP_estimate,DBP_p.value,HR_estimate,HR_p.value,RASBP_estimate,RASBP_p.value,RAMSBP_estimate,RAMSBP_p.value,RADBP_estimate,RADBP_p.value,LASBP_estimate,LASBP_p.value,LAMSBP_estimate,LAMSBP_p.value,LADBP_estimate,LADBP_p.value,RLSBP_estimate,RLSBP_p.value,RLMSBP_estimate,RLMSBP_p.value,RLDBP_estimate,RLDBP_p.value,LLSBP_estimate,LLSBP_p.value,LLMSBP_estimate,LLMSBP_p.value,LLDBP_estimate,LLDBP_p.value,hrbpm_estimate,hrbpm_p.value,RbaPWV_estimate,RbaPWV_p.value,LbaPWV_estimate,LbaPWV_p.value,RABI_estimate,RABI_p.value,LABI_estimate,LABI_p.value,Cardiovascular_incidence_estimate,Cardiovascular_incidence_p.value,TG_estimate,TG_p.value,TC_estimate,TC_p.value,HDLC_estimate,HDLC_p.value,LDLC_estimate,LDLC_p.value,Glum_estimate,Glum_p.value
s__Methanobrevibacter_smithii,0.0874099456263504,0.415343048589814,0.0700370016502062,0.5142793170904,0.121974992576482,0.254828105829935,-2.77209584999827e-05,0.999794287832314,0.0772787534390583,0.471637331651654,0.0469397122624705,0.662249724763839,0.0246658769925138,0.818524795960798,-0.00331190718176676,0.975426760224203,0.0966460962074086,0.367599035247626,0.107382907663963,0.316523708873734,0.0810114603425532,0.450430059733474,0.172052152927869,0.106910051667624,0.0943440664259926,0.379172642584874,0.0722191280540385,0.501226324669678,0.169266836985657,0.112795667924177,0.0972019834658937,0.364837033879792,0.0755049973558443,0.481901287103345,0.197103932570792,0.0641127324959294,0.180195613582979,0.0910676195448054,0.155431652790409,0.145817196052729,0.123611173238479,0.24846220877619,0.100139610082136,0.35045354088844,0.256608112242656,0.0152071408042993,0.162786474635954,0.127458518875761,0.0523345182186558,0.626203535730219,-0.0159799758411064,0.881843148041315,0.0715214478936973,0.505380848888514,0.076886480850451,0.473896990638529
s__Methanosphaera_stadtmanae,0.0976951542143186,0.362397343344656,0.0662882895958035,0.537101877693951,0.0994737967323839,0.353682183319815,0.0521225952069126,0.627603807040004,0.100885260148172,0.34685963514325,0.106786515329287,0.319234562386363,0.0996247229925274,0.352948701811423,0.0571787489904664,0.594564349398696,0.0819557736229042,0.445150369689174,0.128506461916632,0.230072188164737,0.101449469216581,0.344155622487416,0.0418528114151722,0.696959794935375,0.06781310031543,0.527758645962838,0.0995056683018452,0.353527212942051,0.0723333720318195,0.500547726135266,0.11175392093715,0.29711009346649,0.0804229866815274,0.453737784526708,0.111415834859963,0.298583146411007,0.149972455535042,0.160681290855607,0.14465170609477,0.176223338498085,-0.123945258980407,0.247175937460667,-0.076799074656342,0.474401283394059,0.0458001784913023,0.669966711281599,0.106031173192295,0.322689273048527,0.139759954601319,0.191458956617264,0.0555603245260965,0.605054908059599,0.145650962155383,0.173223520291488,0.0214284200761647,0.842012124316999
s__Actinomyces_odontolyticus,-0.404241272075661,8.53866265019497e-05,-0.368396815747095,0.000382156754251102,-0.188686538645863,0.0765865187156626,-0.183570530105543,0.0850722150691828,-0.0424115229875345,0.693115244268322,-0.22673245490886,0.0326255109678879,-0.187346248503366,0.0787411275593101,-0.257042245365661,0.0150298748956341,-0.249629502059568,0.0183149584391053,-0.230724087805056,0.029606368243455,-0.24294847471103,0.0217872588451686,-0.207894853904527,0.0505869881291642,-0.183420275886059,0.0853322908395819,-0.158485817121459,0.137965831982438,-0.145403989711898,0.173961431077637,-0.124992190609299,0.243174831960128,-0.10575711210152,0.323948648649009,-0.054994746274098,0.60874008920134,-0.134933026374422,0.207404330963814,-0.089740490620197,0.402968607900058,0.0497788367225199,0.643177098089185,0.28459239328475,0.00687122552863173,-0.0770851268411815,0.472751974023866,-0.263756824661948,0.0125074104452571,-0.127111511171484,0.235212814068643,0.192498621688062,0.0707156352045104,-0.17139640689946,0.108273704277277,-0.120979249243997,0.258756345974809
s__Actinomyces_sp_HMSC035G02,-0.181756686771853,0.0882542081748643,-0.196957715638859,0.0643143964718107,-0.236359840851151,0.0257480542043737,-0.232175320421966,0.0285688809768798,-0.183774529442136,0.0847201201386242,-0.137892557675254,0.197519234383748,-0.0951025298146573,0.375335317585864,-0.154857298441311,0.147330510688893,-0.159839948175627,0.134588993595656,-0.140919259423917,0.187764941389036,-0.116203169241365,0.278169809033372,-0.110999997115487,0.300401526218738,-0.103179614130809,0.335946494231227,-0.0430349440479342,0.688834572936242,-0.0590551033604635,0.582505232667652,-0.0941714660842723,0.380049187717817,-0.0736826087124028,0.492569734900815,-0.153390049812327,0.151249966368075,-0.00717239908853559,0.946813700910929,-0.0225727789764606,0.833693031441046,0.0553558433495625,0.606386127451372,0.260721010241698,0.0135981991778998,-0.0029974231627733,0.977759501012395,-0.163957300017105,0.124706731130818,-0.0139571566018647,0.896711629764227,0.0801499636103771,0.455276967656315,-0.00726585639430254,0.94612170578947,-0.142370950618023,0.18321250801953
s__Actinomyces_sp_ICM47,-0.114969449979745,0.283338853526631,-0.112483476741139,0.293947688034956,-0.202132147893517,0.0574840612438544,-0.158778253113242,0.137231196913658,-0.093057512412068,0.385735749760405,-0.10454800194987,0.329542293696894,-0.0512000413208006,0.633714852280678,-0.0743043155916259,0.488916278408514,-0.103298964805061,0.335384807661045,-0.0525762770059275,0.62460774176484,-0.0122036950902128,0.909629324334476,-0.116494770897019,0.276957330055857,-0.101607201374361,0.343402050983767,-0.0399177002034701,0.710334161696559,-0.0779016620264149,0.468061136139971,-0.112697805869098,0.293022866908435,-0.000178869445891987,0.998672643113332,-0.00983974801514062,0.927081061251282,0.0439952749888366,0.682259692892795,0.03222592905502,0.764330551737106,0.02541034821172,0.813145516944618,0.18408257714589,0.0841906380193193,-0.000332303537297377,0.997534040001063,-0.144751014360187,0.175923518007289,-0.0824077090002367,0.442635902374851,-0.0203524849659748,0.849849655549135,-0.054816285999046,0.609904930899464,-0.0543168345659264,0.613170097219903
s__Actinomyces_sp_S6_Spd3,-0.213757973559023,0.0442839212065574,-0.151290592456655,0.156993280934235,-0.27798312932755,0.008349057392552,-0.243404220358225,0.0215336924525351,-0.0787194714206663,0.463388485736702,-0.145330230897317,0.174182256393994,-0.114389063013058,0.285792535208767,-0.139859756920343,0.191138894430347,-0.11865275309318,0.268094514554887,-0.118468038544782,0.268845554074101,-0.106452389877971,0.320759808590406,-0.0490845216869094,0.647820665533273,-0.0596130517168272,0.578941127865811,0.00585710277774105,0.956556624640669,-0.0483198639078956,0.65295030309042,-0.0438946103782836,0.682947789960177,-0.0727841859032598,0.49787461237054,-0.135309264299828,0.206128456657384,0.0112097007879848,0.916962708198022,-0.00190352599404882,0.985875006332156,0.219887104635151,0.0384055930830618,0.217211644300736,0.0408860716944519,0.00445143881214328,0.966975956330527,-0.175899639038642,0.0991766258438637,-0.118787826373019,0.267546211257395,0.0308026634435205,0.77445554239064,-0.0464189225904052,0.66577223058305,-0.0426453219587151,0.691508744946347
s__Aeriscardovia_aeriphila,-0.0719642066346757,0.502742258735356,-0.101712677918842,0.342898711024983,0.0557899188746749,0.603561732387697,-0.0145387762339706,0.892432623242702,0.0400486975104642,0.709425958021742,0.0289803667012187,0.787474220737897,0.0127470060130469,0.905624099657571,0.0497352855380232,0.643467967852816,0.0378875346424672,0.724460273321778,0.0908765246144196,0.397016200756979,0.0968092276048179,0.366787171065421,0.0598648421758404,0.577336024447594,0.0816286956452297,0.446975138562522,0.079232215204657,0.460471941866061,0.101395586916886,0.344413284755163,0.065582417595164,0.541454577952986,0.0165073347789203,0.877973362835297,-0.104503722353243,0.329748302229836,0.116885442948844,0.275338470936784,0.124952278069469,0.243326542483244,0.102561222156549,0.338866282060913,0.11536170931314,0.281688476939236,0.10265719940695,0.338412071682446,-0.0939787608800523,0.381029279351583,0.000261088727226894,0.998062510112928,0.0694703447405109,0.51769711217493,0.0117229836535632,0.913174959040668,0.0815864783507708,0.447210973237894
s__Bifidobacterium_adolescentis,-0.0278624685368312,0.795489831318081,0.00256677907437115,0.980954178961608,0.293211329930421,0.00529335419756645,0.172001857240134,0.107014167937851,0.0251997295623117,0.814666504070597,0.215233243581209,0.0428048882258446,0.220835115001334,0.0375573929883157,0.197000094084887,0.0642558947783719,0.158184989342909,0.138724652236384,0.208082321060439,0.0503745983553356,0.156308575248892,0.143529267486661,0.252913418272939,0.0167903721137973,0.159447195492664,0.135561882776106,0.0616620098743542,0.565939772350873,0.229380800849992,0.0305948850347142,0.1420086997812,0.184340910939907,0.0212826678538938,0.843072957889231,-0.0492541697175653,0.64668480984133,0.0844143186945882,0.431568467699993,0.0791709250364269,0.460820035389823,0.0891216651707866,0.406233016571023,0.00893135105109258,0.933796898910091,0.0392828368278629,0.714741374566008,-0.0978195471965592,0.361783567012233,0.0479357802208154,0.655533008799724,0.171015872148056,0.109071222653479,0.015740901343591,0.883598407294743,-0.117550920881194,0.272595514351322
s__Bifidobacterium_bifidum,-0.168592256195461,0.114258179593586,-0.168303950679588,0.114887690564728,0.129142239681663,0.227755479326705,0.0200682812583036,0.85192237571448,0.115917550066922,0.279360849695642,0.0874353350949096,0.41520706141808,0.0820979435329488,0.444358506625945,-0.00914184975666449,0.932240238789656,0.0551700768604677,0.607596624317305,0.0932005352113693,0.385002796198715,-0.0191867679418046,0.858357656848149,0.117419503713955,0.273135726483426,0.0223404408494238,0.835380601014594,-0.0160081137559501,0.881636599828694,0.0650225600425734,0.544919154485468,0.0677053445887179,0.528416232228696,0.0303385006587226,0.777765817005657,0.0523605628064418,0.626031538552669,0.0331474342078817,0.757795975730855,0.0719780691849096,0.502659761510682,0.138723417220473,0.194806022724844,-0.077431368773881,0.470759781495661,0.0716246796151313,0.5047650065936,-0.0375760166760985,0.726636169972018,-0.0246293695624249,0.818788803638195,0.0648166196701722,0.546196294836102,-0.00648481435875566,0.951906031029079,0.0317764019431237,0.767524264032426
s__Bifidobacterium_catenulatum,0.0738752573925307,0.491436100697727,0.0138432266163578,0.897550168531431,-0.0997148376577434,0.352511207681053,-0.0750236897915569,0.48470685182752,-0.00117065004179032,0.99131298850632,-0.0122074797329899,0.909601416464043,-0.0101122716068021,0.925067250126342,0.0305042568129718,0.776583233658826,-0.0255688219584674,0.812001551418547,0.0310832837212386,0.772456188178371,0.0384890658202566,0.720264883701945,-0.0578272577524069,0.590383789421759,-0.100955312238837,0.346523184822961,-0.0384169324317445,0.720767545613136,-0.0503175763659012,0.639583417163304,-0.0663535927562194,0.536700066444318,0.00311336506562684,0.976899458664675,-0.116814421304665,0.275632296068785,-0.0634942179883548,0.554431737967306,-0.0437390701750052,0.684011500450021,-0.0431738554076524,0.687882075718656,-0.0273361264122679,0.799271248852223,-0.273562182355222,0.00948722332767074,-0.135049713224871,0.207008029058843,-0.248847790318049,0.0186949412720079,-0.0606382533589241,0.572418639014518,-0.148168519023014,0.16583225404947,-0.0596123521405416,0.578945590363473
