,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
1,g__Enorma,g0_vs_g1,g045_vs_g144,89,0.00633425,0.30920505,g1,g1,0.4889,0.6818,0.00041,0,0.001115,37.87,52.3,1.1 (1.3;0.92)
2,g__Hungatella,g0_vs_g1,g045_vs_g144,89,0.00884058,0.30920505,g0,g0,0.7778,0.6591,0.00254,0.0073,0.00121,52.02,37.82,0.95 (0.86;1)
3,g__Intestinibacter,g0_vs_g1,g045_vs_g144,89,0.01732,0.30920505,g1,g1,0.6667,0.8182,0.00661,0.00232,0.01966,38.6,51.55,1.1 (1.2;0.95)
4,g__Lachnospiraceae_unclassified,g0_vs_g1,g045_vs_g144,89,0.0178376,0.30920505,g1,g1,0.6889,0.8182,1.265,0.2757,2.209,38.62,51.52,1 (1.1;0.96)
5,g__Anaerotruncus,g0_vs_g1,g045_vs_g144,89,0.0180919,0.30920505,g1,g1,0.6,0.7955,0.00293,0.00195,0.00517,38.68,51.47,1.1 (1.2;0.95)
6,g__Intestinimonas,g0_vs_g1,g045_vs_g144,89,0.0203054,0.30920505,g1,g1,0.5111,0.75,0.00299,0.00051,0.00997,38.87,51.27,1 (1.1;0.96)
7,g__Erysipelatoclostridium,g0_vs_g1,g045_vs_g144,89,0.0214184,0.30920505,g0,g0,0.8444,0.6818,0.00822,0.01271,0.0038,51.2,38.66,0.96 (0.88;1)
8,g__Sharpea,g0_vs_g1,g045_vs_g144,89,0.0216986,0.30920505,No significance,g1,0.2222,0.4545,0,0,0,39.76,50.36,1.1 (1.2;0.94)
9,g__Lachnospira,g0_vs_g1,g045_vs_g144,89,0.030182,0.3441204,g1,g1,0.3778,0.6136,0,0,0.4986,39.51,50.61,1 (1.1;0.97)
10,g__Adlercreutzia,g0_vs_g1,g045_vs_g144,89,0.0301947,0.3441204,g1,g1,0.5333,0.7727,0.00515,0.00252,0.008265,39.24,50.89,1 (1.1;0.96)
11,g__Romboutsia,g0_vs_g1,g045_vs_g144,89,0.0332046,0.3441204,g1,g1,0.5556,0.7727,0.00094,4e-04,0.00189,39.33,50.8,1.1 (1.2;0.94)
12,g__Enterobacter,g0_vs_g1,g045_vs_g144,89,0.0467335,0.438449261538462,No significance,g1,0.1556,0.3636,0,0,0,40.84,49.25,1 (1.1;0.97)
13,g__Bacteroides,g0_vs_g1,g045_vs_g144,89,0.0499986,0.438449261538462,g0,g0,1,1,39,43.61,29.57,50.31,39.57,0.88 (0.64;1.1)
14,g__Lactobacillus,g0_vs_g1,g045_vs_g144,89,0.0582937,0.46020204,No significance,No significance,0.6444,0.75,0.0284,0.00262,0.07417,39.93,50.18,1 (1.1;0.97)
15,g__Rothia,g0_vs_g1,g045_vs_g144,89,0.0605529,0.46020204,No significance,No significance,0.4444,0.25,0,0,0,49.33,40.57,0.95 (0.86;1)
16,g__Aggregatibacter,g0_vs_g1,g045_vs_g144,89,0.0688565,0.464155342857143,No significance,No significance,0.0444,0.1591,0,0,0,42.41,47.65,1.1 (1.3;0.91)
17,g__Collinsella,g0_vs_g1,g045_vs_g144,89,0.0750563,0.464155342857143,No significance,No significance,0.7333,0.7955,0.3505,0.2849,0.443,40.2,49.91,1 (1;0.99)
18,g__Turicibacter,g0_vs_g1,g045_vs_g144,89,0.0823904,0.464155342857143,No significance,No significance,0.3111,0.5,0,0,5e-05,40.81,49.28,1 (1.1;0.97)
19,g__Weissella,g0_vs_g1,g045_vs_g144,89,0.0837097,0.464155342857143,No significance,No significance,0.0667,0.1818,0,0,0,42.31,47.75,1.1 (1.2;0.94)
20,g__Citrobacter,g0_vs_g1,g045_vs_g144,89,0.0845221,0.464155342857143,No significance,No significance,0.1333,0.2727,0,0,0,41.71,48.36,1.1 (1.2;0.94)
21,g__Proteobacteria_unclassified,g0_vs_g1,g045_vs_g144,89,0.0855023,0.464155342857143,No significance,No significance,0.3333,0.5,0,0,8.5e-05,40.82,49.27,1 (1.1;0.97)
22,g__Asaccharobacter,g0_vs_g1,g045_vs_g144,89,0.101326,0.525052909090909,No significance,No significance,0.5111,0.7045,0.00143,0.00074,0.00323,40.69,49.41,1 (1.1;0.97)
23,g__Tyzzerella,g0_vs_g1,g045_vs_g144,89,0.117414,0.581965043478261,No significance,No significance,0.6,0.4545,0.00047,0.00475,0,49.02,40.89,0.97 (0.91;1)
24,g__Prevotella,g0_vs_g1,g045_vs_g144,89,0.124016,0.589076,No significance,No significance,0.6444,0.7273,0.04011,0.00468,0.9475,40.89,49.2,1 (1;0.99)
25,g__Christensenella,g0_vs_g1,g045_vs_g144,89,0.141189,0.594690193548387,No significance,No significance,0.1333,0.25,0,0,0,42.26,47.81,1.1 (1.3;0.92)
26,g__Atopobium,g0_vs_g1,g045_vs_g144,89,0.14767,0.594690193548387,No significance,No significance,0.2667,0.4545,0,0,0,41.62,48.45,1 (1.1;0.97)
27,g__Firmicutes_unclassified,g0_vs_g1,g045_vs_g144,89,0.148609,0.594690193548387,No significance,No significance,0.6889,0.7955,0.09245,0.03059,0.1602,41.11,48.98,1 (1.1;0.98)
28,g__Aeriscardovia,g0_vs_g1,g045_vs_g144,89,0.1532,0.594690193548387,No significance,No significance,0.1111,0.2273,0,0,0,42.47,47.59,1.1 (1.2;0.93)
29,g__Turicimonas,g0_vs_g1,g045_vs_g144,89,0.156305,0.594690193548387,No significance,No significance,0.3111,0.4545,0,0,0,41.63,48.44,1 (1.1;0.97)
30,g__Flavonifractor,g0_vs_g1,g045_vs_g144,89,0.156905,0.594690193548387,No significance,No significance,1,0.9545,0.2075,0.2424,0.1754,48.84,41.07,0.95 (0.86;1)
31,g__Parvimonas,g0_vs_g1,g045_vs_g144,89,0.161714,0.594690193548387,No significance,No significance,0.0667,0.1591,0,0,0,42.91,47.14,1.1 (1.3;0.92)
32,g__Anaeromassilibacillus,g0_vs_g1,g045_vs_g144,89,0.191466,0.628406678571429,No significance,No significance,0.2,0.3182,0,0,0,42.27,47.8,1 (1.1;0.97)
33,g__Gemmiger,g0_vs_g1,g045_vs_g144,89,0.194045,0.628406678571429,No significance,No significance,0.6444,0.7955,0.04378,0.01331,0.06108,41.51,48.57,1 (1.1;0.97)
34,g__Coprobacter,g0_vs_g1,g045_vs_g144,89,0.196289,0.628406678571429,No significance,No significance,0.3333,0.25,0,0,0,47.82,42.11,0.96 (0.87;1)
35,g__Lactococcus,g0_vs_g1,g045_vs_g144,89,0.202137,0.628406678571429,No significance,No significance,0.1111,0.2045,0,0,0,42.8,47.25,1.1 (1.2;0.95)
36,g__Gordonibacter,g0_vs_g1,g045_vs_g144,89,0.209893,0.628406678571429,No significance,No significance,0.9111,0.7727,0.0049,0.00718,0.002245,48.4,41.52,0.96 (0.89;1)
37,g__Eggerthella,g0_vs_g1,g045_vs_g144,89,0.217983,0.628406678571429,No significance,No significance,0.8222,0.7727,0.01795,0.032,0.01009,48.33,41.59,0.98 (0.93;1)
38,g__Desulfovibrio,g0_vs_g1,g045_vs_g144,89,0.235133,0.628406678571429,No significance,No significance,0.3333,0.4773,0,0,0,42.13,47.93,1 (1.1;0.98)
39,g__Harryflintia,g0_vs_g1,g045_vs_g144,89,0.258789,0.628406678571429,No significance,No significance,0.1333,0.0682,0,0,0,46.61,43.35,0.86 (0.55;1.2)
40,g__Catenibacterium,g0_vs_g1,g045_vs_g144,89,0.262111,0.628406678571429,No significance,No significance,0.0667,0.1364,0,0,0,43.4,46.64,1.1 (1.2;0.93)
41,g__Holdemania,g0_vs_g1,g045_vs_g144,89,0.266332,0.628406678571429,No significance,No significance,0.4889,0.6818,0.00382,0,0.004805,42.09,47.98,1 (1.1;0.98)
42,g__Dorea,g0_vs_g1,g045_vs_g144,89,0.272954,0.628406678571429,No significance,No significance,0.8667,0.9091,0.3832,0.277,0.4001,42.02,48.05,1 (1.1;0.96)
43,g__Comamonas,g0_vs_g1,g045_vs_g144,89,0.275692,0.628406678571429,No significance,No significance,0.0667,0.1364,0,0,0,43.44,46.59,1 (1.1;0.95)
44,g__Faecalicoccus,g0_vs_g1,g045_vs_g144,89,0.28266,0.628406678571429,No significance,No significance,0.0667,0.1364,0,0,0,43.47,46.57,1.1 (1.2;0.94)
45,g__Oscillibacter,g0_vs_g1,g045_vs_g144,89,0.286266,0.628406678571429,No significance,No significance,0.6667,0.7727,0.08658,0.00664,0.1735,42.13,47.93,1 (1.1;0.97)
46,g__Bifidobacterium,g0_vs_g1,g045_vs_g144,89,0.287676,0.628406678571429,No significance,No significance,0.8889,0.9091,0.3125,0.4416,0.2398,47.89,42.05,0.98 (0.94;1)
47,g__Lachnoclostridium,g0_vs_g1,g045_vs_g144,89,0.287914,0.628406678571429,No significance,No significance,0.9556,0.9773,0.06537,0.08195,0.05537,47.89,42.05,0.98 (0.93;1)
48,g__Catabacter,g0_vs_g1,g045_vs_g144,89,0.290695,0.628406678571429,No significance,No significance,0.2889,0.2045,0,0,0,47.18,42.77,0.94 (0.81;1.1)
49,g__Methanobrevibacter,g0_vs_g1,g045_vs_g144,89,0.291264,0.628406678571429,No significance,No significance,0.1111,0.2045,0,0,0,43.18,46.86,1 (1;0.99)
50,g__Methanosphaera,g0_vs_g1,g045_vs_g144,89,0.29695,0.628406678571429,No significance,No significance,0.0667,0.1364,0,0,0,43.51,46.52,1 (1.1;0.98)
51,g__Akkermansia,g0_vs_g1,g045_vs_g144,89,0.297693,0.628406678571429,No significance,No significance,0.2444,0.3864,0,0,0,42.67,47.39,1 (1;0.99)
