,type,Block,Number,Paired,Pvalue,FDR,Enrich_median,Enrich_rank,g0_occurence,g1_occurence,median_all,g0_median,g1_median,g0_rank,g1_rank,Odds Ratio (95% CI)
1,PWY.1042..glycolysis.IV..plant.cytosol.,g0_vs_g1,g045_vs_g144,89,0.00340069,0.424516421052632,g0,g0,1,1,0.01214,0.01311,0.01082,52.87,36.95,0.61 (-0.37;1.6)
2,PWY.6531..mannitol.cycle,g0_vs_g1,g045_vs_g144,89,0.00470382,0.424516421052632,g0,g0,0.9778,1,0.0003893,0.0004477,0.0003011,52.6,37.23,0.86 (0.58;1.2)
3,PWY.7560..methylerythritol.phosphate.pathway.II,g0_vs_g1,g045_vs_g144,89,0.00701918,0.424516421052632,g1,g1,0.9333,0.9545,0.0009087,0.0004176,0.001385,37.69,52.48,1.1 (1.3;0.91)
4,PWY.6270..isoprene.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.00719403,0.424516421052632,g1,g1,0.9333,0.9545,0.001026,0.0004753,0.00156,37.71,52.45,1.1 (1.3;0.91)
5,ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.,g0_vs_g1,g045_vs_g144,89,0.00916081,0.424516421052632,g0,g0,1,1,0.01034,0.01099,0.009343,52.02,37.82,0.67 (-0.12;1.5)
6,PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.,g0_vs_g1,g045_vs_g144,89,0.010332,0.424516421052632,g1,g1,0.9556,0.9545,0.0004444,0.0002935,0.0006466,38.04,52.11,1.1 (1.2;0.93)
7,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,g0_vs_g1,g045_vs_g144,89,0.0103557,0.424516421052632,g1,g1,1,1,0.001707,0.001168,0.001909,38.09,52.07,1.2 (1.4;0.87)
8,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,g0_vs_g1,g045_vs_g144,89,0.0137985,0.424516421052632,g1,g1,1,1,0.01215,0.01086,0.01331,38.36,51.8,1.5 (2.3;0.7)
9,NAGLIPASYN.PWY..lipid.IVA.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0173929,0.424516421052632,g1,g1,0.9778,1,0.0005593,0.0004813,0.0007203,38.58,51.57,1.1 (1.3;0.91)
10,COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0186187,0.424516421052632,g1,g1,1,1,0.01175,0.01092,0.01292,38.64,51.5,1.5 (2.3;0.7)
11,PWY.6549..L.glutamine.biosynthesis.III,g0_vs_g1,g045_vs_g144,89,0.0195891,0.424516421052632,No significance,g1,0.2,0.3864,0,0,0,39.91,50.2,1.2 (1.5;0.85)
12,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,g0_vs_g1,g045_vs_g144,89,0.0212961,0.424516421052632,g1,g1,1,1,0.002809,0.0027,0.003235,38.78,51.36,1.2 (1.5;0.85)
13,RHAMCAT.PWY..L.rhamnose.degradation.I,g0_vs_g1,g045_vs_g144,89,0.0222594,0.424516421052632,g0,g0,1,1,0.003385,0.004119,0.002903,51.18,38.68,0.77 (0.28;1.3)
14,PWY.7013..L.1.2.propanediol.degradation,g0_vs_g1,g045_vs_g144,89,0.0224805,0.424516421052632,g1,g1,0.6667,0.8409,9.501e-05,2.613e-05,0.0002169,38.86,51.28,1.1 (1.2;0.95)
15,ARO.PWY..chorismate.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0227549,0.424516421052632,g1,g1,1,1,0.012,0.01122,0.01267,38.84,51.3,1.5 (2.2;0.71)
16,PWY.3841..folate.transformations.II,g0_vs_g1,g045_vs_g144,89,0.0227549,0.424516421052632,g0,g0,1,1,0.01071,0.01126,0.01026,51.16,38.7,0.7 (-0.016;1.4)
17,PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.,g0_vs_g1,g045_vs_g144,89,0.0242989,0.424516421052632,g1,g1,1,1,0.004941,0.004006,0.005775,38.91,51.23,1.2 (1.5;0.86)
18,PWY.6703..preQ0.biosynthesis,g0_vs_g1,g045_vs_g144,89,0.0253773,0.424516421052632,g0,g0,1,1,0.009778,0.01065,0.009264,51.04,38.82,0.76 (0.22;1.3)
19,PWY.6609..adenine.and.adenosine.salvage.III,g0_vs_g1,g045_vs_g144,89,0.0259318,0.424516421052632,g0,g0,1,1,0.006267,0.006723,0.00584,51.02,38.84,0.73 (0.1;1.4)
20,PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I,g0_vs_g1,g045_vs_g144,89,0.0264965,0.424516421052632,g0,g0,1,1,0.004802,0.005234,0.004593,51,38.86,0.7 (0.011;1.4)
21,PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type,g0_vs_g1,g045_vs_g144,89,0.026684,0.424516421052632,No significance,g1,0.3111,0.4773,0,0,0,39.7,50.42,1.1 (1.4;0.89)
